Umpire,Nationality,First officiated,Last officiated,No. of Matches
S Ravi,India,2009,2020,121
HDPK Dharmasena,Sri Lanka,2009,2018,94
AK Chaudhary,India,2012,2020,87
C Shamshuddin,India,2012,2020,83
M Erasmus,South Africa,2009,2019,66
Nitin Menon,India,2016,2020,57
CK Nandan,India,2013,2019,57
SJA Taufel,Australia,2009,2013,55
VA Kulkarni,India,2012,2020,51
Asad Rauf,Pakistan,2008,2013,51
BNJ Oxenford,Australia,2012,2019,48
CB Gaffaney,New Zealand,2015,2020,47
RJ Tucker,Australia,2011,2019,46
BR Doctrove,West Indies,2008,2012,44
RE Koertzen,South Africa,2008,2011,42
BF Bowden,New Zealand,2009,2014,38
Aleem Dar,Pakistan,2008,2014,38
NJ Llong,England,2013,2019,37
KN Ananthapadmanabhan,India,2016,2020,33
RK Illingworth,England,2014,2020,32
S Asnani,India,2009,2013,31
SK Tarapore,India,2009,2012,31
RB Tiffin,Zimbabwe,2008,2011,30
AY Dandekar,India,2016,2020,28
DJ Harper,Australia,2008,2010,28
AM Saheba,India,2008,2011,27
VK Sharma,India,2016,2020,26
A Nand Kishore,India,2016,2019,25
PR Reiffel,Australia,2011,2020,24
K Hariharan,India,2008,2011,21
YC Barde,India,2017,2020,19
BG Jerling,South Africa,2008,2010,18
JD Cloete,South Africa,2012,2015,17
SS Hazare,India,2009,2014,17
S Das,India,2010,2013,15
K Srinath,India,2013,2015,15
IL Howell,South Africa,2008,2009,14
SL Shastri,India,2008,2011,14
MR Benson,England,2008,2009,13
A Deshmukh,India,2017,2018,12
PG Pathak,India,2014,2020,11
RM Deshpande,India,2014,2015,8
Ulhas Gandhe,India,2019,2020,8
GAV Baxter,New Zealand,2009,2009,7
SJ Davis,Australia,2008,2008,7
AB Jayaprakash,India,2008,2008,7
SD Fry,Australia,2015,2015,6
Ian Gould,England,2019,2019,6
AL Hill,New Zealand,2011,2011,6
GA Pratapkumar,India,2008,2008,6
I Shivram,India,2008,2008,6
K Srinivasan,India,2015,2020,6
TH Wijewardene,Sri Lanka,2009,2009,6
K Bharatan,India,2016,2016,3
SD Ranade,India,2009,2009,2
Subroto Das,India,2013,2013,1
